Id;Category;Tweet;Emotion;VB;WRB;IN;VBP;JJ;WP;VBZ;MD;NN;TO;PRP;RB
1E+018;c7;RT @NotBillWalton: To me, Kevin Durant is like Kim Kardashian. I don't care how successful you are right now, I will ALWAYS remember what y…;information;4;1;1;3;1;1;1;1;6;1;2;1
1E+018;c3;RT @iamblackbear: someone asked me how often i want to die today;sorrow;2;1;0;1;0;0;1;0;2;1;1;1
1E+018;c4;Read the thread. #ItsOkNotToBeOk #reachout #itsgoodtotalk https://t.co/20Ccdv7Mrs;information;1;0;0;0;1;0;0;0;3;0;0;0
1E+018;c7;Oh my God 🤣🤣🤣🤣🤣🤣🤣 https://t.co/mPL2eE4hAj;surprise;0;0;0;0;0;0;0;0;2;0;0;0
1E+018;c7;RT @QGotNoRings: Y'all would make women orgasm more if you actively asked them what they want, what's working, what's not and how you can d…;information;5;1;1;2;0;3;0;2;1;0;4;1
1E+018;c7;"RT @deguzmankarenn: -FLAT CHESTED
-WALA KANG DEDE WAG KANG MAGMAGANDA
-DI MO NA KAILANGAN MAGBRA, WALA KA NAMANG DEDE EH

tbh i'm just so t…";depression;1;0;0;2;3;0;0;0;13;1;0;2
1E+018;c7;RT @simonfromharlow: So... 72 hours after this photo was taken last year, I deleted Twitter, Facebook and WhatsApp, threw my phones into a…;depression;0;0;2;1;2;0;0;0;9;0;0;1
1E+018;c7;RT @NotBillWalton: To me, Kevin Durant is like Kim Kardashian. I don't care how successful you are right now, I will ALWAYS remember what y…;information;4;1;1;3;1;1;1;1;6;1;2;1
1E+018;c7;"RT @deguzmankarenn: -FLAT CHESTED
-WALA KANG DEDE WAG KANG MAGMAGANDA
-DI MO NA KAILANGAN MAGBRA, WALA KA NAMANG DEDE EH

tbh i'm just so t…";depression;1;0;0;2;3;0;0;0;13;1;0;2
1E+018;c4;@FabuPonah I don't know the details but I know your pain. Try to calm yourself, it sucks but it's not a tragedy and… https://t.co/nNCCek0Axz;peacefulness;1;0;0;2;1;0;0;0;7;1;3;1
1E+018;c3;RT @BenKissel: I don't care who does it. I don't care which political party does it. I want to see human beings who were over-sentenced by…;anger;2;0;0;1;2;2;4;0;8;1;2;0
1E+018;c7;Just as you think you're done crying about that guy who broke your heart, some dumb thing on tv sets you of again.… https://t.co/qDbSPLqnJO;disgust;0;0;4;1;1;1;0;0;6;0;2;1
1E+018;c2;End world hunger: Take a dictionary, and remove all references to hunger! Can't be spoken, it doesn't exist!;hopelessness;4;0;0;0;1;0;1;0;6;1;1;0
1E+018;c7; Thomas Cook cares? Clearly not.... I've messaged you on 2 occasions on how we've had our last 2 ho… https://t.co/20TfxeBPfj;anger;0;1;2;0;3;0;1;0;5;0;1;1
1E+018;c4;RT @muftimenk: Make a commitment to start a new beginning when #Ramadan ends. Give up at least one bad habit in this blessed month. Do it s…;support;4;1;2;1;5;0;0;0;5;1;1;0
1E+018;c3;RT @Omojuwa: God isn’t answering your “let my enemies die!” prayers because He doesn’t want you to kill yourself. Sometimes, stop externali…;hopefulness;3;0;0;1;3;0;1;0;10;1;3;0
1E+018;c7;"If this is the case I want to see @FLOTUS filled immigration papers.
There's NO way that an educated person receive… https://t.co/RUPy2AawxY";anger;1;0;2;1;3;0;1;0;6;1;0;0
1E+018;c3;drinking game: take a shot every time i embarrass myself in public. this is also a pretty effective way to kill yourself.;guilt;3;0;1;1;4;0;1;0;6;1;2;1
1E+018;c1;RT @hopexpics: I WANT TO DIE https://t.co/ecDpTujm9C;depression;1;0;0;1;0;0;0;0;1;1;0;0
1E+018;c1;"RT @ThinkSarcasm: i've been in a ""i don't even care anymore"" mood a lot lately";depression;1;0;1;0;2;0;0;0;5;0;0;1
